Customer_ID,Age,Annual_Income,Total_Purchases,Average_Order_Value,Purchase_Frequency,Total_Spending,Discount_Usage,Online_Purchases,Store_Purchases,Customer_Class
1024,50,949026.56,47,2553.05,6.34,113721.07,6,0,47,HIGH_VALUE
1025,48,869952.97,53,4141.6,6.24,271804.06,14,13,40,HIGH_VALUE
1026,36,389902.47,20,1715.43,1.64,32814.78,23,0,20,LOW_VALUE
1027,33,463934.2,38,2430.03,3.83,101132.51,6,0,38,REGULAR
1028,23,296582.73,14,1169.38,1.86,18193.39,30,1,13,LOW_VALUE
1029,30,342099.82,14,1170.54,2.39,16024.52,20,2,12,LOW_VALUE
1030,37,437549.17,42,2212.77,3.15,78405.95,18,9,33,REGULAR
1031,47,1038117.1,94,2122.08,4.95,181066.19,4,35,59,HIGH_VALUE
1032,47,928461.44,57,3890.18,6.04,233908.01,14,10,47,HIGH_VALUE
1033,23,188409.88,21,991.79,0.5,22913.98,25,5,16,LOW_VALUE
1034,39,517080.88,51,3044.2,4.36,149483.14,13,1,50,REGULAR
1035,43,598680.02,61,3039.06,4.8,168311.69,24,14,47,REGULAR
1036,31,266628.48,21,1586.48,2.45,34451.46,19,0,21,LOW_VALUE
1037,30,312167.84,25,1835.71,2.95,47063.99,20,6,19,LOW_VALUE
1038,52,648363.47,46,2325.0,3.09,106402.45,18,6,40,REGULAR
1039,25,224981.07,19,1411.14,1.86,23909.49,28,1,18,LOW_VALUE
1040,46,554280.45,46,1560.3,3.91,78920.33,14,12,34,REGULAR
1041,38,413137.35,32,2442.67,4.27,88227.92,16,8,24,REGULAR
1042,41,956061.51,79,3469.05,5.6,280985.38,8,11,68,HIGH_VALUE
1043,31,317168.01,44,2413.11,3.2,101067.17,9,13,31,REGULAR
1044,33,393686.29,18,1407.79,1.92,28417.0,19,0,18,LOW_VALUE
1045,58,839530.94,69,3112.13,5.37,207730.92,20,26,43,HIGH_VALUE
1046,67,1053231.4,76,4736.39,5.93,364683.27,6,19,57,HIGH_VALUE
1047,41,551538.37,51,2150.2,3.66,119623.94,20,7,44,REGULAR
1048,30,305038.86,20,911.88,2.47,16446.63,22,0,20,LOW_VALUE
1049,41,439131.78,50,1744.34,3.72,82115.9,22,6,44,REGULAR
1050,29,298321.05,18,923.23,0.63,16597.67,26,1,17,LOW_VALUE
1051,39,274119.63,22,1120.0,1.18,21946.05,12,3,19,LOW_VALUE
1052,28,362960.38,11,1190.07,1.61,12556.16,22,1,10,LOW_VALUE
1053,44,1185889.7,61,3910.31,4.93,247824.18,7,13,48,HIGH_VALUE
1054,34,593673.66,61,2206.67,3.11,135548.04,21,0,61,REGULAR
1055,49,343112.17,36,2708.79,4.81,111522.74,16,7,29,REGULAR
1056,44,974482.62,61,3677.26,5.6,220585.73,9,26,35,HIGH_VALUE
1057,41,614850.16,43,2302.49,4.31,110544.44,12,14,29,REGULAR
1058,42,682033.69,41,2689.28,4.61,112593.7,19,10,31,REGULAR
1059,18,327106.12,17,1484.63,0.5,26205.06,27,0,17,LOW_VALUE
1060,30,324482.17,13,1220.55,2.96,15099.13,33,5,8,LOW_VALUE
1061,37,468358.87,43,1885.03,3.92,80767.64,23,0,43,REGULAR
1062,32,435425.36,42,2182.92,3.93,93728.28,24,9,33,REGULAR
1063,41,630914.14,38,1713.43,4.31,68127.36,20,0,38,REGULAR
1064,51,1166269.41,85,2690.03,6.23,221733.07,19,12,73,HIGH_VALUE
1065,40,640612.84,54,2254.57,4.25,131082.6,18,8,46,REGULAR
1066,44,508767.44,35,2128.41,4.44,74516.65,22,6,29,REGULAR
1067,32,437685.03,46,1788.79,5.01,78163.99,18,0,46,REGULAR
1068,33,336968.08,17,1315.12,2.43,23116.9,14,2,15,LOW_VALUE
1069,38,312166.5,17,850.59,2.03,14453.33,22,3,14,LOW_VALUE
1070,45,624514.15,46,2081.44,4.0,105188.12,13,3,43,REGULAR
1071,26,332555.67,22,1576.04,2.07,32029.69,20,0,22,LOW_VALUE
1072,29,711921.6,46,1785.91,3.86,83052.64,19,19,27,REGULAR
1073,42,1103802.22,82,3676.69,6.31,296855.15,7,31,51,HIGH_VALUE
1074,29,233122.98,18,1129.87,2.32,23276.71,24,1,17,LOW_VALUE
1075,26,386118.01,12,1169.95,2.16,15891.22,26,5,7,LOW_VALUE
1076,20,207382.49,17,1509.01,2.04,25936.37,28,1,16,LOW_VALUE
1077,25,373577.58,17,1249.79,2.01,22935.38,33,2,15,LOW_VALUE
1078,43,607162.66,47,2703.1,4.87,141403.13,13,10,37,REGULAR
1079,49,520115.82,48,1738.69,3.44,94336.3,12,11,37,REGULAR
1080,47,722047.11,71,3666.12,6.06,289803.6,12,11,60,HIGH_VALUE
1081,51,539170.94,42,1989.58,3.83,82023.34,17,4,38,REGULAR
1082,38,691728.87,23,1929.8,3.82,41341.22,18,7,16,REGULAR
1083,31,802229.25,76,3542.46,6.0,315501.56,10,0,76,HIGH_VALUE
1084,31,357759.45,21,1519.22,1.73,35154.74,26,4,17,LOW_VALUE
1085,18,214938.95,16,1575.85,2.08,25216.98,19,4,12,LOW_VALUE
1086,47,408104.52,17,1335.84,0.94,20472.06,23,0,17,LOW_VALUE
1087,38,373977.36,39,1824.23,2.66,70313.43,14,0,39,REGULAR
1088,33,619614.37,43,2451.61,4.29,91498.74,18,10,33,REGULAR
1089,41,360450.65,13,1320.32,2.26,18216.26,24,1,12,LOW_VALUE
1090,49,433589.08,49,3100.59,5.37,133272.04,11,1,48,REGULAR
1091,25,247229.42,16,1505.9,1.93,22526.91,36,0,16,LOW_VALUE
1092,20,398418.98,45,2667.12,3.66,117788.54,9,2,43,REGULAR
1093,42,636081.47,21,1805.12,4.93,37739.07,13,6,15,REGULAR
1094,35,426495.47,47,2601.69,3.6,129121.46,12,9,38,REGULAR
1095,34,393112.81,18,1482.41,1.45,26754.32,31,3,15,LOW_VALUE
1096,36,351153.35,33,2997.0,3.63,109234.9,17,5,28,REGULAR
1097,34,480866.68,28,2700.46,5.06,69587.21,22,5,23,REGULAR
1098,36,273170.54,18,1838.39,1.66,36397.93,25,2,16,LOW_VALUE
1099,41,386960.69,18,1189.31,2.46,22799.61,23,3,15,LOW_VALUE
1100,48,860754.76,81,3195.91,6.02,243343.07,16,32,49,HIGH_VALUE
1101,36,895817.93,39,2294.86,6.56,90040.73,20,9,30,HIGH_VALUE
1102,41,643003.14,50,2370.26,3.69,113836.8,10,0,50,REGULAR
1103,34,345231.3,15,1108.32,1.32,16713.71,24,0,15,LOW_VALUE
1104,37,1044822.65,34,2954.32,6.86,72542.79,7,5,29,HIGH_VALUE
1105,35,1114274.44,82,3966.42,7.29,318645.83,6,20,62,HIGH_VALUE
1106,41,375221.27,37,2290.79,2.91,86698.27,17,9,28,REGULAR
1107,42,754544.43,49,1522.51,3.25,81142.27,20,8,41,REGULAR
1108,33,268397.08,21,2083.11,1.85,40254.95,20,3,18,LOW_VALUE
1109,28,333736.37,27,1482.36,1.49,43689.61,19,2,25,LOW_VALUE
1110,42,854286.72,81,4839.59,6.33,377259.02,8,11,70,HIGH_VALUE
1111,31,696149.42,50,1582.45,4.6,76118.33,24,9,41,REGULAR
1112,30,321872.07,22,1018.28,2.58,23309.12,28,0,22,LOW_VALUE
1113,28,290120.94,19,1473.39,3.03,31426.62,16,0,19,LOW_VALUE
1114,34,712513.3,43,2816.99,3.24,125205.41,15,1,42,REGULAR
1115,34,215410.83,20,928.45,3.3,19688.07,31,1,19,LOW_VALUE
1116,47,1017314.67,70,3467.76,5.66,228648.28,10,20,50,HIGH_VALUE
1117,55,746611.41,83,3328.59,7.56,232955.29,21,29,54,HIGH_VALUE
1118,42,704130.49,51,2702.05,4.02,134811.07,19,5,46,REGULAR
1119,37,447811.19,34,2641.31,4.64,95683.68,14,7,27,REGULAR
1120,30,673292.47,27,2398.1,3.94,61899.84,15,0,27,REGULAR
1121,55,716808.41,45,1724.26,5.01,76474.16,16,7,38,REGULAR
1122,49,537436.91,37,2165.22,4.36,79270.16,29,3,34,REGULAR
1123,24,327582.36,18,1849.9,2.25,36504.69,30,0,18,LOW_VALUE
1124,40,673754.83,42,1767.43,3.05,63638.13,18,0,42,REGULAR
1125,27,402351.16,9,1351.93,1.89,14717.65,27,0,9,LOW_VALUE
1126,45,398969.67,47,2347.44,4.23,118909.02,20,2,45,REGULAR
1127,28,233760.68,19,1244.69,1.98,22176.86,27,0,19,LOW_VALUE
1128,39,319817.4,13,1579.42,1.17,19369.72,24,0,13,LOW_VALUE
1129,30,332887.7,20,868.99,1.97,20851.44,29,2,18,LOW_VALUE
1130,37,337201.62,24,1603.52,4.15,35733.31,12,7,17,REGULAR
1131,38,289776.69,7,1341.0,1.87,8988.56,14,1,6,LOW_VALUE
1132,59,727303.0,85,3959.87,6.22,369624.47,14,5,80,HIGH_VALUE
1133,41,538454.6,26,1914.87,5.06,48487.69,25,6,20,REGULAR
1134,28,470322.32,40,1562.77,3.44,65956.34,15,7,33,REGULAR
1135,45,533960.85,39,1730.37,3.56,62567.44,16,9,30,REGULAR
1136,22,309723.57,19,1194.22,1.2,20556.8,29,0,19,LOW_VALUE
1137,35,672769.93,49,3616.28,5.85,183249.18,10,10,39,HIGH_VALUE
1138,43,472662.4,52,1383.33,4.24,80490.49,17,6,46,REGULAR
1139,35,646205.45,48,2080.87,6.66,90043.46,9,7,41,HIGH_VALUE
1140,41,235944.37,15,1495.25,2.32,23148.38,25,2,13,LOW_VALUE
1141,43,571478.93,52,2823.52,3.0,142236.94,17,15,37,REGULAR
1142,34,608534.23,38,2419.32,3.82,91542.72,33,5,33,REGULAR
1143,50,1111591.18,46,3809.96,5.47,185377.61,11,9,37,HIGH_VALUE
1144,30,458615.31,52,1329.46,5.11,71724.8,19,13,39,REGULAR
1145,39,527584.0,42,2417.19,4.76,83601.11,11,10,32,REGULAR
1146,29,370172.29,20,791.64,2.45,13470.38,24,2,18,LOW_VALUE
1147,28,205969.37,15,1272.34,2.89,20108.63,27,1,14,LOW_VALUE
1148,38,747811.65,26,2611.24,4.09,84097.79,24,0,26,REGULAR
1149,38,374214.24,36,2392.72,4.0,88566.63,19,2,34,REGULAR
1150,25,283163.97,20,1342.69,0.87,29508.38,17,2,18,LOW_VALUE
1151,41,944630.56,58,3251.5,6.86,176526.8,9,16,42,HIGH_VALUE
1152,36,973838.16,89,3253.44,4.9,249540.97,8,12,77,HIGH_VALUE
1153,31,160477.72,27,962.1,2.14,23046.65,26,1,26,LOW_VALUE
1154,35,299669.0,60,2112.28,4.18,139726.33,21,7,53,REGULAR
1155,34,219697.06,18,1144.8,2.09,19403.64,30,0,18,LOW_VALUE
1156,32,491780.05,29,2025.64,5.35,65366.04,18,4,25,REGULAR
1157,26,354877.44,18,1377.1,1.98,24256.41,18,0,18,LOW_VALUE
1158,43,405701.65,40,1960.62,4.08,75376.95,21,12,28,REGULAR
1159,34,481915.88,35,2061.12,4.22,68591.77,15,8,27,REGULAR
1160,38,912675.44,66,4312.28,6.44,333277.28,4,31,35,HIGH_VALUE
1161,21,350527.62,15,1241.22,1.26,16659.86,20,1,14,LOW_VALUE
1162,53,953444.86,121,3307.5,6.05,348366.97,3,49,72,HIGH_VALUE
1163,18,240995.04,19,1117.4,3.02,22948.57,28,2,17,LOW_VALUE
1164,18,299525.73,23,1679.51,0.89,39793.59,26,5,18,LOW_VALUE
1165,35,501268.66,39,1533.2,3.77,57837.68,18,4,35,REGULAR
1166,42,549938.06,46,2173.97,3.71,100926.18,18,0,46,REGULAR
1167,46,816817.13,91,2334.58,4.62,218263.65,13,18,73,HIGH_VALUE
1168,54,1016020.51,90,3913.62,5.82,277987.54,6,26,64,HIGH_VALUE
1169,35,303444.6,21,1616.85,3.09,30979.12,19,1,20,LOW_VALUE
1170,55,737875.41,82,3974.97,6.06,333104.86,7,14,68,HIGH_VALUE
1171,30,232901.65,18,1621.5,0.95,25362.64,23,0,18,LOW_VALUE
1172,42,473887.29,48,2034.4,4.16,94728.13,17,10,38,REGULAR
1173,40,361445.93,22,1499.13,1.02,35143.14,26,0,22,LOW_VALUE
1174,51,798874.82,78,3464.55,6.47,260215.18,7,18,60,HIGH_VALUE
1175,40,202434.93,13,1131.75,0.72,15786.53,29,4,9,LOW_VALUE
1176,23,311978.1,24,1284.88,2.07,24645.36,17,3,21,LOW_VALUE
1177,37,486024.67,47,2724.15,3.45,113478.46,10,0,47,REGULAR
1178,49,876595.31,82,3308.42,5.25,256245.42,13,27,55,HIGH_VALUE
1179,40,991767.73,56,3620.98,6.1,193247.78,13,14,42,HIGH_VALUE
1180,43,636086.52,27,4371.32,3.87,110754.68,5,9,18,HIGH_VALUE
1181,41,716899.62,92,2354.87,6.79,215454.26,14,5,87,HIGH_VALUE
1182,36,1188761.24,87,2485.98,5.72,197611.26,10,31,56,HIGH_VALUE
1183,30,310159.72,31,2019.61,3.44,54627.79,16,4,27,REGULAR
1184,30,314722.26,11,1210.46,1.36,12155.03,16,4,7,LOW_VALUE
1185,43,794510.7,64,3739.52,5.28,261061.88,11,4,60,HIGH_VALUE
1186,41,540252.47,36,2187.85,3.83,72978.37,16,7,29,REGULAR
1187,30,634684.26,49,2202.36,3.79,109045.41,9,16,33,REGULAR
1188,30,284876.23,19,1796.92,2.34,34724.02,21,0,19,LOW_VALUE
1189,48,998158.19,70,3728.55,5.46,239954.67,11,3,67,HIGH_VALUE
1190,26,432849.16,22,1422.14,2.27,32237.7,23,2,20,LOW_VALUE
1191,44,700032.4,64,3881.24,6.18,213504.43,16,21,43,HIGH_VALUE
1192,41,309557.87,20,1081.34,3.24,23051.57,25,2,18,LOW_VALUE
1193,31,295812.07,15,1546.63,2.33,23233.51,18,0,15,LOW_VALUE
1194,54,811175.72,51,3966.22,4.18,206432.21,13,7,44,HIGH_VALUE
1195,23,317675.57,16,1428.66,2.52,21801.22,30,3,13,LOW_VALUE
1196,35,329875.38,21,1882.94,1.47,34088.34,26,0,21,LOW_VALUE
1197,42,614141.89,32,2617.48,3.14,93466.65,16,15,17,REGULAR
1198,47,968343.76,45,3209.44,5.23,123526.47,8,18,27,HIGH_VALUE
1199,28,215585.15,17,1643.07,1.98,29414.53,15,1,16,LOW_VALUE
1200,18,245092.52,17,1414.24,1.1,23959.2,27,1,16,LOW_VALUE
1201,44,815764.26,81,2852.42,6.11,254668.33,7,24,57,HIGH_VALUE
1202,46,1041243.97,83,3726.43,6.44,313372.46,14,25,58,HIGH_VALUE
1203,34,634906.17,35,1551.43,5.08,55693.71,17,0,35,REGULAR
1204,33,329780.58,16,1753.02,1.27,25809.63,30,2,14,LOW_VALUE
1205,32,346352.39,19,1523.32,1.82,29124.55,28,2,17,LOW_VALUE
1206,45,268573.63,18,1196.1,2.05,21469.48,27,2,16,LOW_VALUE
1207,24,278908.52,22,1424.7,3.64,30158.5,26,3,19,LOW_VALUE
1208,58,593366.14,50,2432.11,4.88,120450.67,14,5,45,REGULAR
1209,30,343889.54,15,1162.44,2.66,16801.25,21,1,14,LOW_VALUE
1210,44,468175.3,32,2392.86,4.42,79117.77,15,1,31,REGULAR
1211,59,361985.13,33,2838.68,4.44,99343.8,14,9,24,REGULAR
1212,41,555686.82,36,1947.76,3.25,68018.21,20,0,36,REGULAR
1213,18,239857.46,20,1551.96,1.74,37623.06,16,2,18,LOW_VALUE
1214,50,732406.77,75,3521.07,5.67,317184.84,5,20,55,HIGH_VALUE
1215,37,460527.05,42,2371.62,2.7,97812.04,15,6,36,REGULAR
1216,36,598142.12,40,2337.59,4.42,103609.99,21,4,36,REGULAR
1217,24,300833.89,16,1599.18,2.69,28891.9,25,5,11,LOW_VALUE
1218,31,252357.39,18,1236.39,0.96,22461.28,20,0,18,LOW_VALUE
1219,48,706038.96,79,3697.8,6.41,355981.01,4,18,61,HIGH_VALUE
1220,33,516452.95,57,1917.68,3.27,108880.38,24,7,50,REGULAR
1221,19,255322.6,15,1048.79,2.66,16506.32,25,0,15,LOW_VALUE
1222,46,419930.44,53,1870.86,3.94,105850.02,20,0,53,REGULAR
1223,40,528552.21,44,2749.02,4.39,92201.92,20,2,42,REGULAR
1224,48,703719.49,88,3994.28,5.85,286598.51,13,13,75,HIGH_VALUE
1225,26,180951.41,22,1431.97,0.5,27476.93,31,7,15,LOW_VALUE
1226,50,1309937.48,75,4316.0,6.19,338543.56,15,18,57,HIGH_VALUE
1227,38,355664.54,12,1512.56,2.8,20333.71,38,0,12,LOW_VALUE
1228,20,502183.06,35,2089.94,3.79,69562.03,20,1,34,REGULAR
1229,45,580716.57,37,3101.25,4.01,129560.32,25,6,31,REGULAR
1230,46,283776.18,18,1525.02,2.26,26659.01,27,2,16,LOW_VALUE
1231,18,388196.23,23,1687.34,2.01,29559.17,26,3,20,LOW_VALUE
1232,36,559312.74,51,1926.53,2.91,100815.02,32,6,45,REGULAR
1233,31,866054.5,89,4280.08,6.59,437283.85,14,16,73,HIGH_VALUE
1234,44,618376.14,33,2226.98,3.52,84528.8,18,7,26,REGULAR
1235,53,1182840.45,78,2832.0,4.47,224211.23,18,19,59,HIGH_VALUE
1236,53,830198.17,59,3371.73,6.34,249299.77,6,22,37,HIGH_VALUE
1237,37,281682.54,49,1844.33,3.83,89334.9,21,16,33,REGULAR
1238,34,806937.44,63,3627.62,5.94,222284.83,13,19,44,HIGH_VALUE
1239,18,342358.18,16,994.58,2.47,17700.49,17,1,15,LOW_VALUE
1240,25,335322.2,19,1176.36,1.19,21363.13,23,1,18,LOW_VALUE
1241,47,836174.24,91,3782.2,5.51,314376.26,0,0,91,HIGH_VALUE
1242,53,1144217.37,66,3016.13,7.1,165168.29,6,2,64,HIGH_VALUE
1243,41,273856.19,15,1555.29,0.5,18987.31,26,1,14,LOW_VALUE
1244,28,663033.92,52,3172.25,3.6,164679.27,13,18,34,REGULAR
1245,46,535729.02,43,2199.56,3.33,85282.8,18,7,36,REGULAR
1246,42,817545.28,84,2970.39,6.52,269956.42,14,43,41,HIGH_VALUE
1247,36,559855.2,50,2078.47,3.72,109547.12,23,2,48,REGULAR
1248,38,419223.18,36,1537.25,2.66,48371.28,14,0,36,REGULAR
1249,36,502344.41,35,2117.63,4.93,79023.21,20,5,30,REGULAR
1250,44,519192.45,47,1924.25,4.03,72065.83,27,7,40,REGULAR
1251,40,643275.46,34,2390.02,3.97,80445.65,25,4,30,REGULAR
1252,53,1297915.36,75,4128.32,5.51,333339.82,9,8,67,HIGH_VALUE
1253,46,603289.88,22,2073.1,4.86,48130.68,24,4,18,REGULAR
1254,26,402406.06,22,1783.47,2.25,42788.25,26,1,21,LOW_VALUE
1255,34,197311.61,21,1431.18,1.59,30087.79,24,5,16,LOW_VALUE
1256,45,833144.81,104,3461.46,4.74,428140.06,15,29,75,HIGH_VALUE
1257,44,1088215.22,66,4344.07,6.38,293723.86,6,14,52,HIGH_VALUE
1258,28,347248.96,12,1554.84,2.44,19554.12,25,2,10,LOW_VALUE
1259,18,293506.0,16,1321.4,3.41,17474.24,23,2,14,LOW_VALUE
1260,49,713913.68,23,2461.06,3.73,44721.95,20,5,18,REGULAR
1261,31,326370.97,18,1734.7,3.18,34764.12,16,0,18,LOW_VALUE
1262,44,968628.85,83,5072.9,6.45,483088.86,6,18,65,HIGH_VALUE
1263,29,320388.51,14,1719.11,2.96,21682.19,27,3,11,LOW_VALUE
1264,24,429519.54,22,1420.84,2.99,32225.66,27,3,19,LOW_VALUE
1265,32,1086892.19,87,2557.9,5.42,250084.83,7,20,67,HIGH_VALUE
1266,23,288210.09,24,1377.87,2.14,36967.55,29,0,24,LOW_VALUE
1267,18,259261.24,13,979.66,2.58,11967.65,25,0,13,LOW_VALUE
1268,41,312687.61,22,1205.65,3.16,24708.56,22,0,22,LOW_VALUE
1269,31,240825.59,17,1740.97,3.03,27179.07,25,1,16,LOW_VALUE
1270,35,264888.69,18,1687.33,2.85,29372.07,28,1,17,LOW_VALUE
1271,41,269181.82,18,1155.71,1.33,23813.06,26,1,17,LOW_VALUE
1272,30,264844.91,27,1133.54,0.67,34543.26,26,0,27,LOW_VALUE
1273,28,214271.07,14,1354.66,2.31,17052.96,23,0,14,LOW_VALUE
1274,44,707957.59,43,2134.59,3.81,91604.7,16,2,41,REGULAR
1275,27,599939.52,46,2200.8,4.26,117088.25,24,9,37,REGULAR
1276,27,523625.19,40,2712.19,3.52,92371.34,24,6,34,REGULAR
1277,40,357260.9,10,1077.57,1.28,10707.47,27,0,10,LOW_VALUE
1278,45,680475.68,43,2462.8,3.4,114978.29,19,0,43,REGULAR
1279,45,1027175.85,72,3859.4,4.0,286275.85,10,13,59,HIGH_VALUE
1280,52,704513.78,56,3508.37,6.05,198726.81,11,12,44,HIGH_VALUE
1281,24,289826.96,23,962.88,2.13,20849.85,34,1,22,LOW_VALUE
1282,30,275833.02,13,1105.26,1.09,16850.4,20,0,13,LOW_VALUE
1283,24,193417.94,17,2019.48,2.97,31402.93,30,3,14,LOW_VALUE
1284,33,276381.75,23,1663.61,1.67,37624.9,17,4,19,LOW_VALUE
1285,44,645917.3,43,2746.71,3.16,125652.82,15,7,36,REGULAR
1286,26,742791.23,27,2079.12,4.62,53093.63,22,1,26,REGULAR
1287,27,458084.45,21,1643.87,2.4,33677.82,28,1,20,LOW_VALUE
1288,43,667257.54,38,2492.72,3.29,108974.55,20,2,36,REGULAR
1289,49,538060.97,43,2304.47,3.96,93377.58,14,3,40,REGULAR
1290,34,261386.33,16,1677.29,2.47,28340.38,24,1,15,LOW_VALUE
1291,57,555198.27,91,4166.53,5.31,346716.58,11,19,72,HIGH_VALUE
1292,30,267884.67,13,1240.15,1.74,15444.01,18,0,13,LOW_VALUE
1293,50,714383.63,88,4087.86,6.59,304306.58,10,21,67,HIGH_VALUE
1294,24,358840.4,18,1864.22,3.35,27971.05,30,7,11,LOW_VALUE
1295,53,913571.92,59,3919.64,5.92,244078.13,9,13,46,HIGH_VALUE
1296,41,788252.15,93,3976.1,6.51,345202.39,14,7,86,HIGH_VALUE
1297,39,1183567.8,91,3499.48,7.0,362031.95,10,21,70,HIGH_VALUE
1298,40,1450715.62,77,3379.94,5.38,222033.25,5,21,56,HIGH_VALUE
1299,32,778047.92,54,3930.57,7.07,213621.7,5,15,39,HIGH_VALUE
1300,33,593604.94,24,2348.43,2.43,48910.12,20,2,22,REGULAR
1301,49,925498.21,90,4087.54,6.8,367808.03,8,21,69,HIGH_VALUE
1302,25,227376.08,17,1193.98,2.3,20106.83,30,0,17,LOW_VALUE
1303,46,490919.33,43,1942.8,4.57,78858.39,16,0,43,REGULAR
1304,36,757671.64,42,2773.03,4.01,102501.47,18,8,34,REGULAR
1305,38,1064187.43,38,3831.57,7.36,168545.01,6,16,22,HIGH_VALUE
1306,45,580450.17,44,1773.0,3.55,72736.46,11,10,34,REGULAR
1307,34,248651.36,39,1991.11,4.61,86802.28,9,10,29,REGULAR
1308,39,517725.66,55,2133.88,3.47,136642.22,17,16,39,REGULAR
1309,22,345291.71,19,1803.21,2.3,36748.44,24,4,15,LOW_VALUE
1310,31,417056.61,8,863.7,1.29,7276.65,19,1,7,LOW_VALUE
1311,49,475022.4,42,2426.04,3.48,102182.31,28,0,42,REGULAR
1312,40,584979.86,42,2725.61,3.96,114123.68,14,3,39,REGULAR
1313,29,315557.26,18,1246.26,3.61,22231.39,18,5,13,LOW_VALUE
1314,43,729014.15,38,2387.16,5.11,92725.73,18,11,27,REGULAR
1315,45,513246.72,64,2099.05,3.46,118083.45,24,26,38,REGULAR
1316,18,363619.63,21,1895.46,0.92,38748.4,24,1,20,LOW_VALUE
1317,46,487661.57,49,3276.95,3.75,153808.07,15,7,42,REGULAR
1318,42,466158.45,52,2456.76,2.57,112096.95,17,16,36,REGULAR
1319,29,334311.55,18,1585.4,1.05,26137.37,19,2,16,LOW_VALUE
1320,39,887040.25,81,4307.35,6.34,353748.89,16,15,66,HIGH_VALUE
1321,48,994111.88,73,3023.41,5.66,225141.88,14,11,62,HIGH_VALUE
1322,36,424784.06,55,2712.29,3.35,135697.39,16,7,48,REGULAR
1323,47,310230.49,16,1230.69,1.78,22011.53,24,2,14,LOW_VALUE
1324,45,572852.57,42,2406.19,4.3,122047.22,10,1,41,REGULAR
1325,36,1088645.32,88,4421.42,5.4,388737.36,8,0,88,HIGH_VALUE
1326,31,450409.83,32,2395.0,3.63,73031.62,19,7,25,REGULAR
1327,58,695921.22,91,4402.33,5.53,438164.48,17,10,81,HIGH_VALUE
1328,44,665790.89,36,3133.48,4.41,101344.08,18,2,34,REGULAR
1329,41,683703.07,42,2613.96,4.09,95585.41,26,1,41,REGULAR
1330,24,225075.44,21,1472.4,2.52,28858.78,27,1,20,LOW_VALUE
1331,39,595418.05,44,2584.69,4.38,116485.86,14,9,35,REGULAR
1332,26,232504.24,19,1568.44,1.53,29954.82,31,0,19,LOW_VALUE
1333,37,578071.27,52,2522.5,5.38,128687.66,16,26,26,REGULAR
1334,47,736380.41,81,4141.48,5.92,395061.7,12,19,62,HIGH_VALUE
1335,20,258106.71,17,1246.72,1.46,26856.84,25,1,16,LOW_VALUE
1336,33,481839.27,47,2529.69,4.47,111228.34,13,8,39,REGULAR
1337,35,194322.64,13,1668.18,2.48,23804.37,29,1,12,LOW_VALUE
1338,34,612140.9,44,2559.62,4.27,101506.74,21,0,44,REGULAR
1339,20,250689.88,13,1152.76,1.49,14450.43,25,0,13,LOW_VALUE
1340,52,824711.69,56,3524.96,6.74,171700.92,7,10,46,HIGH_VALUE
1341,33,319226.97,23,1322.84,2.77,31730.46,30,1,22,LOW_VALUE
1342,52,983939.18,66,3626.7,5.96,256216.84,3,5,61,HIGH_VALUE
1343,33,568058.32,95,5047.69,6.7,547958.83,11,20,75,HIGH_VALUE
1344,36,716085.78,37,1921.37,3.96,75466.93,13,0,37,REGULAR
