age,annual_income,credit_score,loan_amount,loan_term_months,employment_years,debt_to_income,existing_loans,savings_balance,home_ownership,education,marital_status,dependents,purpose,loan_approved
21,85338.0,739.0,25623.0,48,,0.34,2,19865.0,Mortgage,Bachelor,Married,0,Debt Consolidation,0
56,104384.0,,16816.0,60,18.5,0.201,0,24452.0,Mortgage,Bachelor,Married,1,Medical,0
56,73926.0,648.0,24864.0,36,13.4,0.178,3,27812.0,Mortgage,Bachelor,Married,4,Education,0
56,54041.0,652.0,41879.0,60,24.7,0.373,1,531.0,Rent,Bachelor,Married,1,Medical,1
50,77095.0,527.0,39110.0,24,15.6,,0,4362.0,Mortgage,Bachelor,Single,1,Debt Consolidation,0
42,53462.0,699.0,32517.0,60,12.7,0.231,1,6058.0,Rent,High School,Single,1,Car,0
52,97144.0,741.0,,24,22.3,0.104,2,17743.0,Rent,Master,Married,1,Debt Consolidation,0
33,25740.0,567.0,3000.0,60,4.9,0.401,0,16458.0,Rent,Master,Divorced,0,Education,0
56,52775.0,632.0,16117.0,60,25.1,0.225,1,16243.0,Mortgage,High School,Single,0,Business,0
46,23844.0,597.0,7132.0,24,18.4,0.303,0,7182.0,Mortgage,Master,Single,1,Business,0
41,30250.0,610.0,,36,11.6,0.101,1,4906.0,Mortgage,Master,Divorced,2,Car,0
43,119318.0,684.0,60789.0,60,18.4,0.116,2,,Rent,Bachelor,Divorced,3,Home Improvement,0
46,95280.0,530.0,25146.0,24,12.1,0.086,2,18372.0,Other,Bachelor,Single,1,Education,0
22,43894.0,724.0,31579.0,24,0.8,0.35,0,15043.0,Rent,Master,Married,3,Medical,0
27,30142.0,734.0,19869.0,36,4.8,0.365,1,,,Doctorate,Married,2,Debt Consolidation,0
32,18000.0,662.0,12202.0,72,5.3,0.146,1,9025.0,Rent,Bachelor,Married,2,Car,0
26,47763.0,501.0,30445.0,48,3.5,0.279,1,0.0,Mortgage,Bachelor,Married,0,Medical,0
40,198132.0,608.0,126535.0,36,6.1,0.421,3,29958.0,Mortgage,Master,Divorced,1,Business,0
51,76392.0,769.0,39299.0,72,20.2,0.086,2,36556.0,Mortgage,Doctorate,Single,1,Business,1
50,47396.0,480.0,30904.0,36,18.9,0.443,1,13238.0,Own,High School,Married,2,Car,0
42,77507.0,655.0,25397.0,36,13.9,0.082,1,26285.0,Mortgage,Bachelor,Single,2,Business,0
59,29308.0,595.0,31975.0,36,27.8,0.406,0,,Mortgage,Master,Married,1,Car,0
46,53754.0,738.0,16956.0,36,8.5,0.187,1,,Mortgage,High School,Married,1,Medical,0
24,65032.0,631.0,31276.0,36,0.1,0.214,2,28027.0,Other,Bachelor,Married,2,Home Improvement,0
55,59490.0,709.0,46084.0,60,,0.329,2,11540.0,Other,Bachelor,Divorced,1,Medical,0
46,90624.0,721.0,17815.0,12,11.2,0.355,0,5925.0,Mortgage,Bachelor,Married,0,Car,0
49,73154.0,812.0,40828.0,60,15.6,0.424,2,7600.0,Own,Master,Married,3,Home Improvement,0
46,85450.0,665.0,64911.0,24,10.0,0.347,1,23148.0,Own,High School,Single,0,Home Improvement,0
45,44555.0,707.0,14897.0,36,14.3,0.221,1,3832.0,Other,Master,Divorced,0,Business,0
25,95401.0,573.0,43430.0,24,1.0,0.175,2,29796.0,Rent,Bachelor,Married,1,Medical,0
46,135507.0,766.0,91322.0,48,15.8,0.195,1,47495.0,Other,Master,Married,2,Debt Consolidation,0
56,38918.0,625.0,30972.0,60,18.6,,0,2439.0,Mortgage,Bachelor,Married,2,,0
34,40489.0,640.0,10030.0,36,8.7,0.297,3,1289.0,Mortgage,High School,Single,2,Home Improvement,1
48,117720.0,678.0,39309.0,24,13.8,0.092,0,30009.0,Mortgage,Doctorate,Married,3,Car,0
22,56559.0,567.0,24710.0,36,0.6,0.238,1,4136.0,Rent,Master,Single,0,Car,0
36,121628.0,,46008.0,60,10.9,0.137,0,24100.0,Own,Bachelor,Single,1,Education,0
40,50135.0,750.0,6332.0,36,10.3,0.316,2,14394.0,Mortgage,High School,Divorced,0,Business,0
65,124656.0,701.0,20549.0,60,18.1,0.366,2,24206.0,Rent,Bachelor,Divorced,1,Home Improvement,1
30,,566.0,11126.0,36,,,1,21088.0,Mortgage,Doctorate,Married,2,Debt Consolidation,0
33,70181.0,671.0,47937.0,24,4.0,0.239,0,22529.0,Rent,Bachelor,Divorced,1,Debt Consolidation,0
39,131394.0,733.0,59123.0,60,12.9,0.455,2,14225.0,Mortgage,Doctorate,Married,0,Business,0
65,52117.0,545.0,19928.0,36,26.6,0.219,2,,Mortgage,Bachelor,Single,1,Home Improvement,0
59,39464.0,603.0,14438.0,12,15.9,0.155,3,,Mortgage,Master,Divorced,1,Business,0
22,49990.0,743.0,21366.0,72,1.4,0.113,2,11123.0,Rent,Bachelor,Married,1,Medical,0
31,77035.0,699.0,9528.0,24,8.5,,0,4373.0,Rent,High School,Married,1,Education,0
57,29241.0,710.0,3000.0,36,31.5,0.311,0,3422.0,Rent,Master,Married,1,Debt Consolidation,0
23,84194.0,814.0,3000.0,36,5.0,0.206,3,7911.0,Mortgage,High School,Married,2,Home Improvement,1
59,,714.0,16881.0,36,27.8,0.182,0,10871.0,Own,Doctorate,Single,2,Debt Consolidation,1
33,107564.0,727.0,19907.0,60,10.6,0.133,0,19100.0,Own,High School,Divorced,2,Debt Consolidation,0
62,19646.0,,3000.0,12,15.5,0.282,3,7207.0,Mortgage,High School,Single,4,Debt Consolidation,0
34,42503.0,665.0,18886.0,72,8.1,0.301,2,11865.0,Rent,Master,Married,0,Debt Consolidation,0
40,27595.0,623.0,3000.0,48,5.6,0.461,0,9835.0,Rent,Bachelor,Single,2,,0
50,41702.0,,27930.0,72,19.5,0.251,5,11765.0,Own,High School,Married,0,Car,0
26,69827.0,712.0,41271.0,60,1.7,0.137,2,11122.0,Mortgage,Bachelor,Single,0,Home Improvement,0
46,56889.0,642.0,48485.0,72,13.5,0.255,2,11090.0,Rent,High School,Married,0,Debt Consolidation,0
43,54900.0,606.0,32036.0,48,18.5,0.187,2,2716.0,Mortgage,Master,Married,1,Medical,0
56,57439.0,830.0,3000.0,36,14.6,0.383,2,7783.0,Mortgage,High School,Single,2,Business,0
65,68358.0,704.0,23085.0,36,23.9,0.12,1,24401.0,Rent,Bachelor,Single,1,Home Improvement,1
50,38208.0,627.0,11447.0,48,18.9,0.157,4,16388.0,Rent,High School,Single,1,Education,1
39,87045.0,,30588.0,36,5.3,0.157,0,27605.0,Mortgage,Bachelor,Married,0,Debt Consolidation,1
39,85218.0,672.0,28656.0,60,12.9,0.277,1,2115.0,Rent,Master,Married,2,Debt Consolidation,0
39,74586.0,662.0,39546.0,24,15.3,0.386,2,6981.0,Mortgage,Master,Single,1,Home Improvement,0
57,80986.0,720.0,16577.0,60,15.8,0.193,3,9953.0,Own,Bachelor,Married,0,Car,0
35,71480.0,587.0,38813.0,24,6.6,0.213,1,37893.0,Other,High School,Single,0,Business,0
28,164674.0,705.0,111442.0,72,0.0,,3,7344.0,Rent,High School,Divorced,3,Debt Consolidation,0
36,59462.0,818.0,41836.0,24,,0.246,2,17616.0,Rent,Master,Divorced,2,Education,1
22,53503.0,714.0,25136.0,24,3.2,0.172,2,11638.0,Mortgage,High School,Married,3,Medical,1
25,43183.0,653.0,16530.0,60,2.3,0.069,2,5170.0,Rent,Bachelor,Single,1,Car,0
25,37775.0,643.0,3000.0,60,1.5,0.363,3,12204.0,Own,Bachelor,Married,2,Education,0
55,34117.0,650.0,9386.0,60,18.0,0.372,1,2082.0,Mortgage,Doctorate,Divorced,0,Car,0
53,40468.0,662.0,20954.0,72,18.4,0.422,2,2673.0,Mortgage,Bachelor,Single,1,Car,0
52,59932.0,653.0,15687.0,36,19.1,0.329,2,12087.0,Own,,Married,2,Debt Consolidation,0
41,,746.0,23728.0,60,12.9,0.294,0,10173.0,Rent,Master,Divorced,3,Home Improvement,0
53,63541.0,,52648.0,36,17.3,0.287,2,15038.0,Mortgage,Doctorate,Married,1,Debt Consolidation,0
28,42935.0,742.0,10550.0,48,3.4,0.271,1,7578.0,Own,Bachelor,Married,2,Education,0
61,95509.0,653.0,36608.0,36,19.1,0.215,3,52736.0,Rent,Master,Married,0,Car,1
43,88416.0,707.0,45248.0,12,18.4,0.213,1,10771.0,Rent,Bachelor,Divorced,1,Home Improvement,0
63,57426.0,599.0,14809.0,48,24.8,0.373,2,13355.0,Own,Bachelor,Single,0,Car,0
27,45319.0,776.0,31106.0,60,6.8,0.335,2,5306.0,Mortgage,High School,Divorced,0,Debt Consolidation,0
43,80671.0,770.0,31910.0,24,10.1,0.224,1,8789.0,Rent,Master,Married,1,Business,0
52,67854.0,749.0,28661.0,72,25.2,0.053,5,22078.0,Rent,Master,Married,3,Debt Consolidation,1
43,30939.0,571.0,32588.0,48,8.0,,0,4943.0,Mortgage,High School,Divorced,1,Debt Consolidation,0
41,60010.0,740.0,3000.0,24,3.0,0.272,4,10848.0,Mortgage,High School,Married,1,Debt Consolidation,1
28,70310.0,709.0,41907.0,48,1.1,0.438,0,44204.0,Mortgage,Master,Single,0,Debt Consolidation,0
38,40257.0,564.0,14963.0,24,11.2,0.228,1,2666.0,Rent,High School,Single,0,Medical,0
31,67915.0,678.0,27732.0,12,6.0,0.123,1,7261.0,Rent,Bachelor,Married,1,Debt Consolidation,0
34,30840.0,706.0,18300.0,60,6.9,0.268,1,13381.0,Mortgage,Master,Married,0,Education,0
51,117743.0,720.0,50275.0,24,17.0,0.308,3,31040.0,Own,Bachelor,Single,1,Car,1
49,112860.0,693.0,60938.0,24,18.9,0.208,3,,Mortgage,High School,Divorced,1,Debt Consolidation,0
48,54923.0,701.0,47717.0,60,9.2,0.289,0,8908.0,,Bachelor,Divorced,1,Debt Consolidation,0
37,73817.0,,33824.0,12,12.0,0.186,0,3933.0,Own,Bachelor,Divorced,0,Home Improvement,0
64,19499.0,768.0,3000.0,60,20.6,0.073,2,0.0,Rent,Bachelor,Married,2,Business,1
24,35591.0,474.0,10634.0,60,0.5,0.352,2,7301.0,Rent,Master,Divorced,1,Car,0
36,53846.0,657.0,19177.0,24,5.8,0.116,1,16694.0,Rent,Master,Divorced,0,Debt Consolidation,0
26,37059.0,668.0,10937.0,48,0.0,0.03,3,16438.0,Rent,High School,Single,1,Business,0
36,87361.0,554.0,8463.0,24,12.5,0.12,5,33770.0,Other,Master,Divorced,2,Home Improvement,0
64,161715.0,687.0,57536.0,48,20.2,0.287,2,0.0,Rent,Bachelor,Married,2,Business,0
37,35246.0,770.0,13215.0,12,,0.394,0,1229.0,Own,Master,Divorced,2,Debt Consolidation,0
61,41478.0,602.0,7335.0,72,15.6,0.196,3,1481.0,Rent,High School,Married,2,Debt Consolidation,0
43,69418.0,704.0,42436.0,24,19.2,0.3,1,25473.0,Mortgage,Bachelor,Married,3,Business,0
52,134353.0,614.0,27750.0,60,21.2,0.08,2,34443.0,Rent,Bachelor,Single,0,Debt Consolidation,1
41,34481.0,632.0,14581.0,24,14.8,0.217,1,6032.0,Rent,Bachelor,Single,1,Education,0
32,69872.0,786.0,29953.0,24,3.4,0.359,3,8429.0,Rent,Doctorate,Single,2,Debt Consolidation,0
55,148615.0,641.0,96838.0,36,17.0,0.267,1,28064.0,Mortgage,High School,Married,0,Education,0
64,28058.0,713.0,19350.0,48,22.8,0.376,0,5161.0,Mortgage,High School,Married,1,Home Improvement,0
32,33523.0,545.0,16713.0,72,4.9,0.229,0,48.0,Own,Bachelor,Single,0,Car,0
56,50592.0,814.0,11089.0,12,16.7,0.305,0,,Own,Bachelor,Single,0,Home Improvement,1
32,48291.0,723.0,32503.0,12,2.9,0.267,0,11958.0,Mortgage,High School,Married,0,Debt Consolidation,1
53,91577.0,667.0,18562.0,36,21.1,0.149,1,2974.0,Other,Bachelor,Single,2,Business,0
56,69626.0,721.0,53808.0,36,16.1,,3,13771.0,Rent,High School,Single,2,Business,0
41,26447.0,578.0,3000.0,60,13.6,0.111,1,2680.0,Rent,Master,Single,0,,0
54,79403.0,765.0,39255.0,60,14.1,0.159,1,20209.0,Mortgage,Bachelor,Married,0,Medical,1
33,46989.0,657.0,10848.0,60,,0.244,4,6490.0,Mortgage,High School,Married,0,Medical,0
24,114305.0,665.0,60757.0,24,0.0,0.286,5,14519.0,Mortgage,Bachelor,Married,3,,0
25,45874.0,645.0,19423.0,36,1.2,0.118,0,15535.0,Mortgage,Master,Single,3,Medical,0
41,45675.0,638.0,3000.0,60,10.5,0.142,0,10662.0,Own,Master,Single,0,Home Improvement,0
61,80389.0,730.0,21081.0,36,26.8,0.268,1,20585.0,Rent,High School,Married,2,,0
26,89420.0,698.0,22493.0,48,3.9,0.252,3,9606.0,Own,Bachelor,Divorced,0,Home Improvement,0
41,76878.0,727.0,18768.0,36,13.2,0.267,2,1662.0,Mortgage,High School,Single,1,Debt Consolidation,1
52,27606.0,679.0,18937.0,36,20.3,0.289,1,4350.0,Mortgage,High School,Married,0,Business,0
30,80270.0,717.0,44270.0,60,10.3,0.445,3,15748.0,Rent,Master,Married,2,Debt Consolidation,0
53,37738.0,650.0,7375.0,36,18.6,0.055,2,15665.0,Rent,Master,Divorced,0,Car,0
34,69412.0,830.0,51955.0,72,,0.247,1,9872.0,Mortgage,High School,Married,1,Home Improvement,0
57,31304.0,567.0,13532.0,36,24.5,0.27,1,0.0,Own,Master,Single,0,Business,0
47,76813.0,771.0,31773.0,12,8.3,0.254,2,15785.0,Mortgage,Master,Single,2,Car,0
45,42097.0,778.0,15092.0,36,10.6,0.336,1,15533.0,Rent,Master,Married,1,Car,0
28,33497.0,619.0,3000.0,24,9.3,0.433,1,0.0,Mortgage,Master,Married,0,Business,0
41,87336.0,830.0,43543.0,48,17.5,0.382,0,18371.0,Mortgage,Bachelor,Married,1,Debt Consolidation,1
59,69625.0,752.0,34571.0,24,20.5,0.266,6,35004.0,Other,Doctorate,Single,2,Debt Consolidation,0
21,46174.0,750.0,29359.0,48,2.5,0.084,0,15239.0,Mortgage,High School,Single,2,Car,0
55,124425.0,682.0,25077.0,60,21.9,0.155,2,53537.0,Mortgage,Bachelor,Married,3,Education,1
43,50180.0,664.0,37074.0,36,12.9,0.268,1,13158.0,Mortgage,Bachelor,Divorced,4,Debt Consolidation,0
53,62963.0,665.0,51236.0,24,18.9,0.27,2,10252.0,Mortgage,Master,Single,0,Home Improvement,0
50,70542.0,708.0,45125.0,36,16.2,0.373,2,41790.0,Mortgage,High School,Married,1,Car,0
40,46048.0,781.0,16773.0,60,11.9,0.421,3,22759.0,Rent,Bachelor,Married,0,Car,0
34,77733.0,693.0,20525.0,48,5.7,0.236,2,14887.0,Other,Master,Divorced,1,Medical,0
49,47994.0,614.0,38375.0,24,19.8,0.183,1,,Mortgage,Bachelor,Married,0,Home Improvement,0
27,50884.0,739.0,6496.0,48,3.2,,1,528.0,Mortgage,High School,Single,1,Debt Consolidation,0
47,119248.0,746.0,47616.0,36,19.4,0.18,3,29867.0,Mortgage,High School,Married,1,Home Improvement,1
25,37624.0,727.0,33024.0,36,7.0,0.259,2,5382.0,Mortgage,Master,Married,1,Car,1
50,19472.0,734.0,23494.0,24,20.8,0.261,1,4669.0,Rent,Bachelor,Divorced,0,Business,0
49,134341.0,660.0,43355.0,72,9.4,0.24,2,52177.0,Rent,Bachelor,Married,2,Business,0
24,210779.0,613.0,73255.0,24,2.0,0.157,1,23522.0,Rent,Bachelor,Single,0,Debt Consolidation,0
55,51040.0,617.0,17027.0,24,17.2,0.246,2,7957.0,Rent,Doctorate,Married,1,Business,0
39,24470.0,562.0,13578.0,24,12.1,0.118,1,0.0,Rent,Master,Married,1,Car,0
56,53416.0,697.0,7767.0,48,21.2,0.127,1,15202.0,Mortgage,High School,Single,1,Education,1
22,54041.0,674.0,35731.0,36,2.7,0.27,2,14620.0,Rent,Master,Divorced,0,Car,0
29,56598.0,648.0,41353.0,36,4.2,0.192,2,13478.0,Own,Master,Single,0,,0
43,36332.0,467.0,32935.0,36,7.0,0.149,1,15589.0,Own,Master,Divorced,1,Debt Consolidation,0
29,,590.0,34903.0,48,2.9,0.435,2,10984.0,Rent,Bachelor,Married,1,Debt Consolidation,0
35,,761.0,41955.0,36,9.2,,1,24795.0,Mortgage,High School,Single,0,Car,1
50,30260.0,632.0,17904.0,60,,0.205,0,0.0,Mortgage,Master,Married,2,Home Improvement,1
27,86726.0,706.0,61279.0,36,3.0,0.383,0,23232.0,Own,Bachelor,Married,0,Business,0
51,166072.0,580.0,73394.0,24,20.5,,4,7100.0,Mortgage,Bachelor,Married,0,Medical,0
25,67335.0,784.0,42911.0,72,1.8,0.27,1,29265.0,Rent,High School,Married,1,Home Improvement,0
28,52732.0,670.0,12984.0,60,4.8,0.335,3,30199.0,Rent,High School,Single,1,Home Improvement,0
