Applicant_ID,Age,Gender,Married,Education,Self_Employed,Applicant_Income,Coapplicant_Income,Loan_Amount,Loan_Term,Credit_History,Existing_Loans,Debt_to_Income_Ratio,Employment_Status,Property_Area,Loan_Eligibility
APP0018,26,Male,No,Graduate,No,37748.0,15000.0,248869.0,360,Good,0.0,0.95,Contract,Rural,NOT_ELIGIBLE
APP0019,54,Male,Yes,Graduate,No,132147.0,8422.0,518549.0,360,Good,2.0,0.95,Salaried,Semiurban,ELIGIBLE
APP0020,39,Female,Yes,Not Graduate,No,31916.0,19683.0,113031.0,120,Good,0.0,0.95,Contract,Semiurban,ELIGIBLE
APP0021,41,Female,No,Graduate,No,104064.0,15000.0,148899.0,360,Good,1.0,0.429,Salaried,Rural,ELIGIBLE
APP0022,35,Male,Yes,Not Graduate,No,40134.0,11079.0,109956.0,240,Good,,0.727,Salaried,Urban,ELIGIBLE
APP0023,28,Male,Yes,Graduate,No,144560.0,37960.0,166133.0,240,Poor,3.0,0.332,Contract,Semiurban,ELIGIBLE
APP0024,58,Male,No,Not Graduate,,73052.0,8000.0,189658.0,360,Good,0.0,0.495,Salaried,Rural,ELIGIBLE
APP0025,52,Male,No,Graduate,No,33772.0,0.0,129003.0,300,Good,0.0,0.95,Salaried,Urban,ELIGIBLE
APP0026,46,Male,Yes,Graduate,Yes,42805.0,13523.0,196841.0,360,Good,1.0,0.831,Salaried,Semiurban,NOT_ELIGIBLE
APP0027,37,Female,Yes,Graduate,No,80022.0,19060.0,106455.0,360,Good,3.0,0.176,Contract,Semiurban,ELIGIBLE
APP0028,53,Male,Yes,Graduate,No,91159.0,26756.0,171770.0,360,Good,1.0,0.505,Salaried,Rural,ELIGIBLE
APP0029,42,Male,No,Graduate,No,53164.0,0.0,498195.0,360,Poor,0.0,0.95,Self-Employed,Rural,NOT_ELIGIBLE
APP0030,38,Female,Yes,Graduate,No,56192.0,3994.0,339853.0,360,Good,0.0,0.95,Contract,Rural,NOT_ELIGIBLE
APP0031,39,Male,Yes,Graduate,No,79150.0,12812.0,306364.0,300,Poor,1.0,0.95,Self-Employed,Urban,NOT_ELIGIBLE
APP0032,30,Female,No,Not Graduate,No,58592.0,0.0,173028.0,360,Good,1.0,0.809,Unemployed,Rural,ELIGIBLE
APP0033,24,Female,No,Graduate,Yes,29561.0,0.0,133950.0,360,Good,0.0,0.95,Contract,Rural,ELIGIBLE
APP0034,43,Male,No,Graduate,No,37230.0,0.0,162065.0,480,Good,0.0,0.717,Salaried,Semiurban,NOT_ELIGIBLE
APP0035,56,Male,No,Graduate,No,61571.0,15000.0,274252.0,240,Good,2.0,0.95,Unemployed,Semiurban,NOT_ELIGIBLE
APP0036,23,Female,No,Not Graduate,No,98570.0,0.0,424756.0,360,Poor,0.0,0.931,Self-Employed,Urban,NOT_ELIGIBLE
APP0037,55,Female,No,Graduate,No,119463.0,0.0,431784.0,360,Good,3.0,0.917,Salaried,Rural,ELIGIBLE
APP0038,54,Female,No,Graduate,No,79958.0,0.0,378980.0,300,Good,2.0,0.95,Salaried,Urban,ELIGIBLE
APP0039,32,Male,Yes,Not Graduate,Yes,63132.0,46420.0,196520.0,360,Good,1.0,0.386,Self-Employed,Urban,ELIGIBLE
APP0040,46,Female,Yes,Graduate,No,78788.0,13670.0,283319.0,300,Poor,1.0,0.882,Salaried,Rural,NOT_ELIGIBLE
APP0041,27,Male,Yes,Not Graduate,No,39937.0,21120.0,239978.0,240,Good,0.0,0.95,Self-Employed,Rural,ELIGIBLE
APP0042,51,Male,No,Graduate,No,51100.0,15000.0,254225.0,360,Good,2.0,0.909,Salaried,Rural,ELIGIBLE
APP0043,49,Male,Yes,Graduate,Yes,37031.0,60659.0,744424.0,360,Good,1.0,0.95,Self-Employed,Semiurban,NOT_ELIGIBLE
APP0044,35,Female,Yes,Graduate,No,30203.0,18099.0,120185.0,120,Poor,2.0,0.95,Salaried,Urban,NOT_ELIGIBLE
APP0045,23,Male,Yes,Not Graduate,No,64550.0,41028.0,250171.0,180,Good,1.0,0.95,Contract,Semiurban,NOT_ELIGIBLE
APP0046,59,Male,Yes,Graduate,No,60122.0,49000.0,500911.0,240,Good,0.0,0.95,Salaried,Urban,ELIGIBLE
APP0047,38,Female,Yes,Graduate,No,76509.0,21107.0,138540.0,360,Poor,1.0,0.434,Salaried,Rural,NOT_ELIGIBLE
APP0048,56,Male,No,Graduate,No,71484.0,8000.0,205571.0,360,Good,1.0,0.577,Salaried,Semiurban,ELIGIBLE
APP0049,48,Male,No,Graduate,No,61794.0,8000.0,217207.0,360,Good,0.0,0.842,Salaried,Semiurban,ELIGIBLE
APP0050,52,Male,Yes,Graduate,No,71845.0,18630.0,251542.0,180,Good,1.0,0.95,Self-Employed,Urban,ELIGIBLE
APP0051,51,Male,Yes,Graduate,Yes,53885.0,38333.0,130156.0,360,Good,1.0,0.367,Self-Employed,Semiurban,ELIGIBLE
APP0052,28,Female,Yes,Graduate,No,67056.0,25564.0,372608.0,360,Good,1.0,0.95,Salaried,Rural,ELIGIBLE
APP0053,35,Female,No,Graduate,No,38814.0,15000.0,385526.0,360,Good,2.0,0.95,Contract,Semiurban,NOT_ELIGIBLE
APP0054,39,Male,No,Graduate,No,65680.0,0.0,357384.0,300,Good,3.0,0.95,Salaried,Urban,ELIGIBLE
APP0055,40,Female,Yes,Graduate,No,75806.0,11730.0,184382.0,240,Poor,4.0,0.819,Salaried,Urban,NOT_ELIGIBLE
APP0056,22,Female,No,Graduate,Yes,39880.0,0.0,291872.0,480,Good,2.0,0.95,Contract,Semiurban,ELIGIBLE
APP0057,42,Male,Yes,Graduate,No,56386.0,19599.0,181827.0,360,Good,0.0,0.507,Self-Employed,Urban,ELIGIBLE
APP0058,27,Female,Yes,Graduate,No,40772.0,13296.0,238685.0,180,Poor,1.0,0.95,Self-Employed,Rural,NOT_ELIGIBLE
APP0059,50,Male,No,Graduate,No,42718.0,0.0,787178.0,360,Good,3.0,0.95,Salaried,Semiurban,NOT_ELIGIBLE
APP0060,48,Female,Yes,Graduate,No,32052.0,26423.0,293161.0,180,Good,1.0,0.95,Salaried,Urban,ELIGIBLE
APP0061,57,Male,Yes,Graduate,No,100978.0,32035.0,158345.0,180,Good,1.0,0.468,Self-Employed,Rural,ELIGIBLE
APP0062,50,Male,Yes,Graduate,No,91731.0,20112.0,305317.0,360,Good,1.0,0.717,Salaried,Urban,ELIGIBLE
APP0063,35,Male,Yes,Not Graduate,Yes,71186.0,17884.0,146339.0,360,Good,2.0,0.459,Salaried,Urban,ELIGIBLE
APP0064,59,Female,No,Graduate,Yes,141739.0,8000.0,157475.0,360,Good,0.0,0.226,Unemployed,Semiurban,ELIGIBLE
APP0065,37,Male,No,Not Graduate,No,50224.0,8000.0,169873.0,480,Poor,0.0,0.554,Self-Employed,Urban,NOT_ELIGIBLE
APP0066,34,Male,Yes,Graduate,No,235705.0,20778.0,226223.0,360,Good,2.0,0.2,Salaried,Semiurban,ELIGIBLE
APP0067,57,Male,Yes,Not Graduate,No,49310.0,26668.0,439016.0,180,Good,0.0,0.95,Salaried,Rural,NOT_ELIGIBLE
APP0068,35,Female,No,Graduate,No,62167.0,0.0,369600.0,360,Good,1.0,0.95,Contract,Rural,NOT_ELIGIBLE
APP0069,24,Male,Yes,Graduate,No,45440.0,23265.0,359900.0,360,Good,1.0,0.95,Salaried,Urban,ELIGIBLE
APP0070,39,Female,No,Graduate,No,65762.0,0.0,,360,Good,1.0,0.513,Salaried,Semiurban,ELIGIBLE
APP0071,52,Male,No,Not Graduate,No,82140.0,0.0,215931.0,480,Good,0.0,0.373,Salaried,Urban,ELIGIBLE
APP0072,28,Male,Yes,Graduate,No,52073.0,130000.0,319051.0,360,Poor,0.0,0.414,Contract,Semiurban,ELIGIBLE
APP0073,39,Male,No,Graduate,No,129045.0,0.0,207099.0,180,Good,2.0,0.759,Self-Employed,Urban,ELIGIBLE
APP0074,26,Male,Yes,Graduate,No,61690.0,12987.0,244979.0,240,Good,,,Salaried,Semiurban,ELIGIBLE
APP0075,48,Male,Yes,Not Graduate,No,62625.0,32306.0,346070.0,360,Good,2.0,0.839,Salaried,Urban,NOT_ELIGIBLE
APP0076,40,Female,Yes,Graduate,No,35553.0,13582.0,236839.0,480,Good,3.0,0.95,Self-Employed,Rural,NOT_ELIGIBLE
APP0077,34,Male,Yes,Graduate,No,67236.0,9125.0,312092.0,180,,1.0,0.95,Self-Employed,Rural,ELIGIBLE
APP0078,30,Female,No,Graduate,No,51573.0,0.0,601423.0,180,Good,2.0,0.95,Self-Employed,Urban,NOT_ELIGIBLE
APP0079,43,Male,No,Not Graduate,No,41074.0,0.0,,360,Good,1.0,0.95,Salaried,Rural,ELIGIBLE
APP0080,47,Female,No,Graduate,No,37888.0,0.0,493179.0,180,Good,0.0,0.95,Contract,Urban,ELIGIBLE
APP0081,58,Female,No,Graduate,No,198300.0,8000.0,366239.0,180,Good,1.0,0.884,Unemployed,Semiurban,ELIGIBLE
APP0082,38,Female,Yes,Not Graduate,No,48466.0,22148.0,138451.0,360,Poor,2.0,0.495,Self-Employed,Urban,NOT_ELIGIBLE
APP0083,27,Female,Yes,Graduate,No,27330.0,16873.0,164970.0,360,Good,1.0,0.936,Salaried,Urban,ELIGIBLE
APP0084,54,Female,No,Graduate,Yes,39338.0,8000.0,187666.0,360,Good,2.0,0.851,Self-Employed,Semiurban,NOT_ELIGIBLE
APP0085,46,Male,No,Graduate,No,53655.0,15000.0,185762.0,360,Good,0.0,0.551,Salaried,Semiurban,ELIGIBLE
APP0086,49,Male,Yes,Graduate,No,71503.0,34995.0,268124.0,300,Good,0.0,0.721,Salaried,Semiurban,ELIGIBLE
APP0087,24,Male,Yes,Graduate,No,71782.0,10192.0,,480,Good,0.0,0.815,Salaried,Semiurban,ELIGIBLE
APP0088,33,Male,Yes,Graduate,No,76105.0,63996.0,511458.0,300,Good,1.0,0.95,Contract,Urban,ELIGIBLE
APP0089,51,Female,Yes,Not Graduate,Yes,40358.0,7212.0,324639.0,300,Good,1.0,0.95,Salaried,Urban,NOT_ELIGIBLE
APP0090,54,,No,Not Graduate,No,64764.0,8000.0,226074.0,360,Good,0.0,0.778,Contract,Semiurban,ELIGIBLE
APP0091,38,Female,Yes,Graduate,No,36119.0,28856.0,103060.0,360,Good,0.0,0.312,Salaried,Semiurban,ELIGIBLE
APP0092,53,Male,No,Graduate,No,40850.0,15000.0,289650.0,360,Poor,0.0,0.95,Salaried,Urban,NOT_ELIGIBLE
APP0093,54,Female,No,Graduate,No,35404.0,15000.0,283485.0,240,Good,1.0,0.95,Salaried,Urban,ELIGIBLE
APP0094,36,Male,No,Not Graduate,No,31091.0,0.0,305697.0,480,Good,0.0,0.95,Self-Employed,Semiurban,NOT_ELIGIBLE
APP0095,56,Male,Yes,Graduate,No,91666.0,22252.0,769534.0,360,Good,0.0,0.95,Salaried,Semiurban,ELIGIBLE
APP0096,32,Female,Yes,Graduate,No,76544.0,11290.0,507896.0,360,Good,1.0,0.95,Salaried,Rural,ELIGIBLE
APP0097,30,Female,No,Graduate,No,87894.0,0.0,408144.0,480,Poor,1.0,0.755,Salaried,Semiurban,ELIGIBLE
APP0098,48,Male,No,Graduate,No,56048.0,0.0,176442.0,300,Good,1.0,0.886,Salaried,Semiurban,ELIGIBLE
APP0099,46,Male,Yes,Graduate,No,79854.0,9582.0,218886.0,360,Good,2.0,0.637,Self-Employed,Semiurban,ELIGIBLE
APP0100,26,Male,No,Not Graduate,No,23616.0,0.0,267539.0,360,Poor,2.0,0.95,Salaried,Urban,NOT_ELIGIBLE
APP0101,54,Male,Yes,Graduate,No,83231.0,10601.0,192981.0,360,Poor,2.0,0.403,Salaried,Urban,ELIGIBLE
APP0102,28,Female,No,Not Graduate,No,59880.0,0.0,356029.0,360,Poor,2.0,0.95,Unemployed,Urban,NOT_ELIGIBLE
APP0103,53,Female,Yes,Graduate,No,74317.0,9439.0,332322.0,360,Good,2.0,0.87,Salaried,Rural,ELIGIBLE
APP0104,21,Male,Yes,Not Graduate,No,66006.0,26674.0,166069.0,180,Good,1.0,0.767,Salaried,Urban,ELIGIBLE
APP0105,52,Male,Yes,Not Graduate,No,34245.0,16013.0,497334.0,240,Good,2.0,0.95,Salaried,Semiurban,NOT_ELIGIBLE
APP0106,52,Male,Yes,Not Graduate,No,26797.0,54891.0,294094.0,480,Good,0.0,0.679,Salaried,Semiurban,NOT_ELIGIBLE
APP0107,52,Female,Yes,Graduate,Yes,39078.0,27152.0,122099.0,480,Good,3.0,0.356,Self-Employed,Semiurban,NOT_ELIGIBLE
APP0108,47,Male,Yes,Graduate,No,72132.0,49122.0,273184.0,480,Good,1.0,0.439,Salaried,Rural,ELIGIBLE
APP0109,39,Female,Yes,Graduate,No,76598.0,13462.0,320464.0,120,Good,0.0,0.95,Salaried,Semiurban,ELIGIBLE
APP0110,49,Male,No,Graduate,Yes,28523.0,0.0,446630.0,300,Good,2.0,0.95,Self-Employed,Urban,NOT_ELIGIBLE
APP0111,32,Male,Yes,Graduate,No,34343.0,11627.0,238126.0,360,Good,2.0,0.95,Salaried,Rural,ELIGIBLE
APP0112,52,Male,No,Not Graduate,No,38868.0,0.0,416631.0,360,Good,0.0,0.95,Unemployed,Semiurban,NOT_ELIGIBLE
APP0113,43,Female,No,Not Graduate,No,46332.0,0.0,306316.0,180,Good,2.0,0.95,Unemployed,Urban,ELIGIBLE
APP0114,39,Male,Yes,Graduate,No,28604.0,13725.0,148943.0,360,Good,2.0,0.798,Salaried,Semiurban,ELIGIBLE
APP0115,41,Male,Yes,Graduate,No,27792.0,9984.0,141955.0,240,Good,1.0,0.95,Salaried,Semiurban,NOT_ELIGIBLE
APP0116,43,Female,No,Not Graduate,No,37072.0,0.0,479919.0,360,Good,0.0,0.95,Salaried,Urban,ELIGIBLE
APP0117,22,Male,No,Not Graduate,Yes,57325.0,15000.0,497135.0,240,Good,0.0,0.95,Salaried,Rural,ELIGIBLE
APP0118,26,Female,Yes,Graduate,Yes,31207.0,11072.0,326943.0,180,Good,3.0,0.95,Salaried,Semiurban,NOT_ELIGIBLE
APP0119,30,Male,No,Graduate,No,52026.0,0.0,574057.0,180,Good,1.0,0.95,Self-Employed,Semiurban,NOT_ELIGIBLE
APP0120,25,Male,Yes,Not Graduate,No,91418.0,7784.0,464965.0,480,Good,1.0,0.765,Salaried,Urban,ELIGIBLE
APP0121,38,Male,Yes,Graduate,Yes,29444.0,9041.0,388748.0,360,Good,1.0,0.95,Salaried,Urban,NOT_ELIGIBLE
APP0122,47,Male,No,Graduate,No,49811.0,0.0,180794.0,480,Good,3.0,0.634,Salaried,Semiurban,ELIGIBLE
APP0123,47,Male,Yes,Not Graduate,No,89947.0,14546.0,642827.0,360,Good,2.0,0.95,Unemployed,Semiurban,NOT_ELIGIBLE
APP0124,39,Male,No,Not Graduate,No,44996.0,0.0,362206.0,360,Poor,2.0,0.95,Unemployed,Semiurban,NOT_ELIGIBLE
APP0125,55,Male,Yes,Not Graduate,No,41761.0,33400.0,232662.0,300,Good,1.0,0.881,Salaried,Rural,NOT_ELIGIBLE
APP0126,43,Male,No,Not Graduate,No,96141.0,0.0,203165.0,360,Good,0.0,0.484,Self-Employed,Urban,ELIGIBLE
APP0127,24,Male,Yes,Graduate,No,47482.0,8179.0,316729.0,300,Poor,1.0,0.95,Salaried,Semiurban,ELIGIBLE
APP0128,51,Male,Yes,Graduate,No,93456.0,18932.0,125547.0,360,Poor,1.0,0.232,Self-Employed,Rural,NOT_ELIGIBLE
APP0129,43,Male,Yes,Graduate,Yes,67575.0,7684.0,391753.0,360,Good,0.0,0.95,Self-Employed,Rural,ELIGIBLE
APP0130,46,Male,Yes,Graduate,No,46654.0,107894.0,177164.0,360,Good,1.0,0.279,Contract,Rural,ELIGIBLE
APP0131,43,Male,No,Graduate,Yes,69240.0,8000.0,334515.0,300,Poor,0.0,0.95,Salaried,Rural,NOT_ELIGIBLE
APP0132,43,Male,Yes,Graduate,No,64145.0,11133.0,217982.0,360,Good,0.0,0.682,Salaried,Urban,ELIGIBLE
APP0133,24,Male,Yes,Graduate,Yes,89780.0,11186.0,246625.0,240,Good,3.0,0.865,Unemployed,Semiurban,NOT_ELIGIBLE
APP0134,43,Male,Yes,Not Graduate,No,42272.0,8316.0,194703.0,120,Good,0.0,0.95,Salaried,Rural,NOT_ELIGIBLE
APP0135,52,Male,Yes,Graduate,Yes,56099.0,52997.0,259148.0,360,Poor,0.0,0.6,Salaried,Semiurban,ELIGIBLE
APP0136,33,Male,No,Graduate,No,53400.0,0.0,693459.0,360,Good,2.0,0.95,Contract,Urban,NOT_ELIGIBLE
APP0137,45,Male,Yes,Graduate,No,,16148.0,544364.0,360,Good,2.0,0.95,Contract,Rural,NOT_ELIGIBLE
APP0138,22,,No,Graduate,No,33624.0,0.0,331935.0,180,Good,0.0,0.95,,Urban,ELIGIBLE
APP0139,34,Male,Yes,Not Graduate,No,89611.0,5140.0,276621.0,480,Good,1.0,0.515,Contract,Urban,ELIGIBLE
APP0140,38,Male,No,Graduate,No,68798.0,15000.0,419896.0,480,Good,,0.846,Self-Employed,Urban,NOT_ELIGIBLE
APP0141,60,Female,Yes,Graduate,No,29230.0,17911.0,481630.0,360,Poor,1.0,0.95,Salaried,Semiurban,NOT_ELIGIBLE
APP0142,29,Male,Yes,Not Graduate,No,98229.0,14407.0,188007.0,360,Good,2.0,0.42,Self-Employed,Semiurban,NOT_ELIGIBLE
APP0143,32,Male,No,Graduate,No,160725.0,0.0,269783.0,300,Poor,0.0,0.466,Contract,Semiurban,ELIGIBLE
APP0144,37,Male,No,Graduate,Yes,88962.0,0.0,116775.0,360,Poor,2.0,0.284,Contract,Rural,ELIGIBLE
APP0145,60,Female,No,Graduate,No,109102.0,8000.0,480044.0,360,Good,1.0,0.95,Salaried,Semiurban,ELIGIBLE
APP0146,55,Male,Yes,Graduate,No,57301.0,17914.0,754459.0,360,Good,0.0,0.95,Salaried,Semiurban,ELIGIBLE
APP0147,22,Male,Yes,Graduate,Yes,24774.0,10751.0,290973.0,360,Good,1.0,0.95,Contract,Rural,NOT_ELIGIBLE
APP0148,30,Male,No,Graduate,No,22695.0,0.0,100966.0,360,Poor,1.0,0.95,Salaried,Rural,NOT_ELIGIBLE
APP0149,53,Male,Yes,Graduate,No,,22180.0,375049.0,360,Good,0.0,0.95,Salaried,Urban,ELIGIBLE
APP0150,23,Male,No,Graduate,No,41396.0,15000.0,181422.0,360,Good,0.0,0.73,Contract,Urban,ELIGIBLE
APP0151,55,Female,Yes,Graduate,No,35458.0,36767.0,203646.0,240,Poor,0.0,0.95,Salaried,Semiurban,NOT_ELIGIBLE
APP0152,32,Female,Yes,Graduate,No,53368.0,8731.0,378247.0,180,Good,2.0,0.95,Salaried,Rural,NOT_ELIGIBLE
APP0153,57,Female,No,Not Graduate,No,73907.0,0.0,316390.0,360,Poor,1.0,0.924,Salaried,Semiurban,NOT_ELIGIBLE
APP0154,32,Male,No,Graduate,No,27385.0,0.0,221517.0,360,Good,0.0,0.95,Salaried,Urban,ELIGIBLE
APP0155,38,Male,Yes,Graduate,Yes,44339.0,11073.0,204994.0,360,Good,0.0,0.916,Contract,Semiurban,ELIGIBLE
APP0156,47,Female,Yes,Graduate,No,113530.0,35944.0,297434.0,480,Good,1.0,0.393,Salaried,Semiurban,ELIGIBLE
APP0157,26,Male,Yes,Graduate,No,32825.0,27644.0,230038.0,360,Good,3.0,0.919,Salaried,Semiurban,NOT_ELIGIBLE
APP0158,43,Female,Yes,Graduate,No,83498.0,44948.0,164409.0,300,Good,0.0,0.26,Salaried,Rural,ELIGIBLE
APP0159,41,Male,Yes,Not Graduate,No,43583.0,28467.0,238688.0,360,Poor,0.0,0.865,Salaried,Rural,ELIGIBLE
APP0160,52,Male,Yes,Not Graduate,No,71473.0,25195.0,329572.0,360,Good,3.0,0.841,Salaried,Semiurban,NOT_ELIGIBLE
APP0161,60,Male,No,Graduate,No,93135.0,15000.0,257058.0,360,Good,3.0,0.504,Salaried,Semiurban,ELIGIBLE
APP0162,47,Female,No,Graduate,No,78504.0,15000.0,142068.0,360,Poor,0.0,0.321,Self-Employed,Semiurban,ELIGIBLE
APP0163,37,Male,Yes,Not Graduate,No,85092.0,22996.0,450132.0,360,Good,0.0,0.95,Salaried,Semiurban,NOT_ELIGIBLE
APP0164,37,Male,Yes,Graduate,No,31645.0,57589.0,75201.0,360,Good,2.0,0.24,Salaried,Semiurban,ELIGIBLE
APP0165,37,Male,Yes,Graduate,No,93868.0,23710.0,226000.0,360,Poor,1.0,0.434,Salaried,Semiurban,ELIGIBLE
APP0166,53,Male,Yes,Graduate,No,36527.0,18051.0,207908.0,360,,1.0,0.95,Salaried,Semiurban,NOT_ELIGIBLE
APP0167,33,Male,Yes,Graduate,No,,12762.0,300641.0,180,Good,0.0,0.95,Salaried,Semiurban,ELIGIBLE
APP0168,27,Female,Yes,Not Graduate,No,62258.0,34744.0,366643.0,360,Good,2.0,0.85,Salaried,Urban,ELIGIBLE
APP0169,34,Male,No,Graduate,No,69421.0,0.0,480889.0,360,Poor,0.0,0.95,Salaried,Semiurban,NOT_ELIGIBLE
APP0170,21,Female,Yes,Not Graduate,No,64655.0,21288.0,198907.0,180,Good,0.0,0.95,Salaried,Semiurban,ELIGIBLE
APP0171,25,Female,Yes,Graduate,No,36683.0,51480.0,371055.0,360,Good,0.0,0.95,Contract,Urban,ELIGIBLE
APP0172,24,Male,Yes,Graduate,No,28772.0,6114.0,307595.0,360,Good,0.0,0.95,Salaried,Urban,ELIGIBLE
APP0173,51,Male,No,Graduate,No,83601.0,15000.0,123131.0,360,Good,0.0,0.313,Contract,Urban,ELIGIBLE
APP0174,49,Male,No,Graduate,No,60131.0,0.0,697184.0,360,Good,3.0,0.95,Contract,Rural,NOT_ELIGIBLE
APP0175,48,Male,Yes,Graduate,No,95491.0,13715.0,140355.0,300,Good,0.0,0.358,Salaried,Rural,ELIGIBLE
APP0176,39,Male,No,Graduate,No,53832.0,15000.0,342458.0,240,Good,3.0,0.95,Salaried,Semiurban,ELIGIBLE
APP0177,49,Female,Yes,Graduate,No,28018.0,21074.0,,300,Good,0.0,0.95,Salaried,Semiurban,ELIGIBLE
APP0178,27,Female,Yes,Graduate,No,87451.0,16878.0,319608.0,360,Good,1.0,0.704,Salaried,Semiurban,ELIGIBLE
APP0179,57,Female,No,Graduate,No,46042.0,8000.0,220830.0,360,Poor,0.0,0.95,Self-Employed,Semiurban,NOT_ELIGIBLE
APP0180,41,Male,Yes,Graduate,No,64812.0,5985.0,416494.0,360,Good,2.0,0.95,Salaried,Rural,NOT_ELIGIBLE
APP0181,58,Female,Yes,Graduate,Yes,40308.0,13425.0,,360,Good,0.0,0.55,Contract,Urban,ELIGIBLE
APP0182,27,Female,Yes,Graduate,No,121098.0,41685.0,271291.0,240,Good,2.0,0.601,Salaried,Urban,NOT_ELIGIBLE
APP0183,40,Male,Yes,Not Graduate,No,36110.0,14618.0,213605.0,300,Good,2.0,0.95,Contract,Semiurban,NOT_ELIGIBLE
APP0184,48,Male,No,Not Graduate,No,46776.0,0.0,202287.0,240,Poor,0.0,0.95,Contract,Urban,NOT_ELIGIBLE
APP0185,40,Male,Yes,Graduate,No,57911.0,51534.0,343982.0,360,Good,2.0,0.759,Salaried,Semiurban,ELIGIBLE
APP0186,38,Male,Yes,Graduate,No,32560.0,52573.0,469646.0,300,Good,0.0,0.95,Unemployed,Rural,NOT_ELIGIBLE
APP0187,27,Male,Yes,Graduate,No,64456.0,30787.0,237467.0,360,Good,0.0,0.706,Unemployed,Urban,ELIGIBLE
APP0188,36,Male,Yes,,No,119230.0,16366.0,407286.0,360,Good,0.0,0.714,Salaried,Semiurban,ELIGIBLE
APP0189,30,Male,Yes,Graduate,No,43463.0,18829.0,286766.0,360,Good,2.0,0.95,Salaried,Semiurban,NOT_ELIGIBLE
APP0190,33,Female,Yes,Graduate,No,66487.0,13044.0,182414.0,300,Poor,1.0,0.745,Salaried,Rural,NOT_ELIGIBLE
APP0191,48,Female,No,Graduate,No,14696.0,0.0,247392.0,300,Good,3.0,0.95,Salaried,Semiurban,NOT_ELIGIBLE
APP0192,46,Male,Yes,Graduate,No,53982.0,11158.0,242508.0,360,Good,1.0,0.821,Self-Employed,Urban,ELIGIBLE
APP0193,45,Female,Yes,Graduate,No,47327.0,14721.0,200416.0,360,Good,0.0,0.789,Salaried,Semiurban,ELIGIBLE
APP0194,35,Female,Yes,Graduate,No,37131.0,11229.0,343938.0,180,Good,1.0,0.95,Salaried,Semiurban,ELIGIBLE
APP0195,59,Male,Yes,Not Graduate,No,92428.0,7962.0,313381.0,360,Good,1.0,0.769,Contract,Rural,NOT_ELIGIBLE
APP0196,24,Male,Yes,Not Graduate,No,47028.0,25372.0,130488.0,360,Good,4.0,0.427,Salaried,Semiurban,ELIGIBLE
APP0197,34,Male,Yes,Graduate,No,50509.0,25624.0,126730.0,360,Good,,0.32,Self-Employed,Urban,ELIGIBLE
APP0198,25,Male,Yes,Not Graduate,No,45892.0,66457.0,343311.0,240,Good,2.0,0.95,Salaried,Rural,ELIGIBLE
